longitude,latitude
31.377034,30.016894
31.334314,30.084628
31.714354,30.732393
31.814443,31.417539
33.617577,30.608472
31.269641,30.135777
30.999529,30.787678
34.117064,31.212225
34.117064,31.212225
31.334314,30.084628
30.942169,31.111961
34.117064,31.212225
34.153195,29.310183
31.334314,30.084628
34.117064,31.212225
31.334314,30.084628
30.86575,29.413616
33.851883,31.146263
30.963032,29.997914
30.963032,29.997914
30.999529,30.787678
31.334314,30.084628
31.148128,29.284432
31.334314,30.084628
31.185193,30.022924
31.185193,30.022924
31.185193,30.022924
34.117064,31.212225
31.334314,30.084628
32.528546,29.964494
33.625975,30.600094
34.117064,31.212225
33.611283,30.54537
34.117064,31.212225
31.185193,30.022924
30.963032,29.997914
34.117064,31.212225
33.617577,30.608472
33.800864,31.126646
31.334314,30.084628
30.963032,29.997914
30.634518,29.902568
33.833762,29.389289
30.634518,29.902568
31.185193,30.022924
34.241281,31.250196
34.222353,31.172832
33.800864,31.126646
33.800864,31.126646
33.613632,30.470624
33.613632,30.470624
33.613632,30.470624
33.613632,30.470624
31.185193,30.022924
31.185193,30.022924
33.648028,30.46632
33.613632,30.470624
33.77642,30.55503
33.824881,30.692919
32.271431,30.596139
31.253722,29.829254
31.334314,30.084628
34.895225,29.492057
31.717315,30.730032
31.503929,30.589159
31.717315,30.730032
31.503929,30.589159
33.800864,31.126646
31.503016,30.587291
31.334314,30.084628
31.382121,31.038039
30.963032,29.997914
31.09818,29.080087
32.898328,24.089354
30.963032,29.997914
33.800864,31.126646
31.334314,30.084628
31.504066,30.576538
33.694858,30.361125
33.584154,30.58848
31.334314,30.084628
31.334314,30.084628
31.269641,30.135777
31.317676,29.854085
34.117064,31.212225
31.170674,30.968777
33.834471,31.078089
31.185193,30.022924
33.800864,31.126646
34.117064,31.212225
31.269641,30.135777
34.117064,31.212225
32.271459,30.596492
33.800864,31.126646
34.117064,31.212225
31.185193,30.022924
31.185193,30.022924
31.185193,30.022924
31.185193,30.022924
31.334314,30.084628
32.716429,26.154994
30.963032,29.997914
30.963032,29.997914
31.185193,30.022924
31.170674,30.968777
32.716012,26.155061
