iyear,imonth,iday,extended,governorate,city,longitude,latitude,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,target1,natlty1_txt,gname,individual,weaptype,weaptype_txt,nkills
2016,9,4,0,North Sinai,Rafah,34.241281,31.250196,1,0,2,Armed Assault,4,Military,36,Military Checkpoint,Al Masurah Checkpoint,Egypt,Unknown,0,5,Firearms,1
2016,9,4,0,Damietta,Damietta,31.799317,31.420449,1,0,3,Bombing/Explosion,3,Police,25,Police Security Forces/Officers,"Conscripts: Ibrahim Mohamed Suleiman, Mohamed Karim Magdy",Egypt,Hasam Movement,0,6,Explosives,0
2016,9,7,0,North Sinai,Sheikh Zuweid,34.117064,31.212225,1,0,9,Unknown,4,Military,29,Military Unit/Patrol/Convoy,Patrol,Egypt,Unknown,0,13,Unknown,3
2016,9,7,0,North Sinai,Sheikh Zuweid,34.117064,31.212225,0,0,3,Bombing/Explosion,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Soldiers,Egypt,Unknown,0,6,Explosives,2
2016,9,8,0,North Sinai,Abu Tawilah,34.151037,31.211786,1,0,3,Bombing/Explosion,14,Private Citizens & Property,76,House/Apartment/Residence,House,Egypt,Unknown,0,6,Explosives,3
2016,9,8,0,North Sinai,Unknown,33.617577,30.608472,0,0,2,Armed Assault,4,Military,36,Military Checkpoint,Checkpoint,Egypt,Sinai Province of the Islamic State,0,5,Firearms,0
2016,9,8,0,North Sinai,Unknown,33.617577,30.608472,0,0,2,Armed Assault,4,Military,36,Military Checkpoint,Checkpoint,Egypt,Sinai Province of the Islamic State,0,5,Firearms,0
2016,9,8,0,North Sinai,Unknown,33.617577,30.608472,0,0,2,Armed Assault,4,Military,36,Military Checkpoint,Checkpoint,Egypt,Sinai Province of the Islamic State,0,5,Firearms,0
2016,9,8,0,North Sinai,Unknown,33.617577,30.608472,0,0,3,Bombing/Explosion,4,Military,29,Military Unit/Patrol/Convoy,Convoys,Egypt,Unknown,0,6,Explosives,0
2016,9,8,0,Giza,Sixth of October,30.963032,29.997914,1,0,2,Armed Assault,3,Police,25,Police Security Forces/Officers,Officer: Salah Mohamed,Egypt,Hasam Movement,0,5,Firearms,1
2016,9,11,0,North Sinai,Rafah,34.241281,31.250196,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,Egypt,Unknown,0,6,Explosives,0
2016,9,11,0,North Sinai,Sheikh Zuweid,34.117064,31.212225,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,Egypt,Unknown,0,6,Explosives,0
2016,9,12,0,North Sinai,Arish,33.800864,31.126646,1,0,3,Bombing/Explosion,3,Police,23,Police Patrol (including vehicles and convoys),Vehicle,Egypt,Sinai Province of the Islamic State,0,6,Explosives,0
